"SRC_mail2Group";"SRC_mail2Code";"SRC_mail2Stat";"SRC_mail2Prio";"SRC_mail2Clean";"SRC_mail2Double";"SRC_mail2CompNo";"VORNAME";"NAME";"STRASSE";"PLZ";"STADT";"POST_Strasse_und_Hausnummer";"POST_Postleitzahl";"POST_Ort";"Ergebnisklasse_der_Zustelladresse";"Veraenderung_Postleitzahl";"Veraenderung_Ortsname";"Veraenderung_Strassenname";"Veraenderung_Hausnummer";"ErgebniskennzeichenZustellbarkeit";"Aehnlichkeitsmass_Ort";"Aehnlichkeitsmass_Strasse";"X_Koordinate";"Y_Koordinate";"Naehere_Qualifizierung_der_Ortsebene";"Ebene_fuer_die_die_Koordinaten_gueltig_sind";"Ergebniskennzeichen_der_Geocodierung";"Name_des_GCS_Services_der_intern_das_Resultat_lieferte";"microm_Haus_ID";"Ebene_fuer_die_diese_Information_gueltig_ist";"Ergebniskennzeichen_der_Geocodierung1";"Nummer_des_Ziel_Frachtzentrums";"Strassenkennzahl";"Die_ersten_11_Stellen_des_Frachtcodes";"Ebene_fuer_die_diese_Information_gueltig_ist1";"Ergebniskennzeichen_der_Geocodierung2";"Kundendaten";"Ergebniskennzeichen_der_Geocodierung3"
"1";0;100;1;1;1;0;0;"John";"Doe";"Ruesselsheimer Str. 115";"65451";"Kelsterbach";"Rüsselsheimer Str. 115";"65451";"Kelsterbach";"2";"OK";"OK";"C";"OK";"OK";100;100;"+00851940";"+05005889";;2;1;"BL_GCS_D";"064330070016700115";4;1;55;106;65451106115;4;1;;5
"2";0;100;1;1;1;0;0;"Jane";"Doe";"Drosselweg 41";"24616";"Brokstedt";"Drosselweg 41";"24616";"Brokstedt";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+00981247";"+05398688";;2;1;"BL_GCS_D";"010610190001600041";4;1;24;34;24616034041;4;1;;5
"3";0;100;1;1;1;0;0;"John";"Doe";"Stuttgarter Str. 79";"76337";"Waldbronn";"Stuttgarter Str. 79";"76337";"Waldbronn";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+00848151";"+04892637";;2;1;"BL_GCS_D";"082151100032800079";3;1;76;117;76337117079;4;1;;5
"4";0;100;1;1;1;0;0;"Jane";"Doe";"Gaensaeckerstr. 99";"71332";"Waiblingen";"Gänsäckerstr. 99";"71332";"Waiblingen";"2";"OK";"OK";"C";"OK";"OK";100;100;"+00930395";"+04881654";;2;1;"BL_GCS_D";"081190790029000099";3;1;73;53;71332053099;4;1;;5
"5";0;100;1;1;1;0;0;"John";"Doe";"Oderstr. 25";"15324";"Letschin";"Oderstr. 25";"15324";"Letschin";"3";"OK";"OK";"OK";"NF";"OK";100;100;"+01445139";"+05264663";;2;1;"BL_GCS_D";"120642740006900025";4;1;15;107;15324107025;4;1;;5
"6";0;100;1;1;1;0;0;"Jane";"Doe";"Oderstraße 25";"15324";"Sophienthal";"Oderstr. 25";"15324";"Letschin";"2";"OK";"SC";"C";"OK";"OK";100;100;"+01445139";"+05264663";;2;1;"BL_GCS_D";"120642740006900025";4;1;15;107;15324107025;4;1;;5
"7";0;100;1;1;1;0;0;"John";"Doe";"Westendstr. 25";"64747";"Breuberg";"Westendstr. 25";"64747";"Breuberg";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+00901121";"+04981614";;2;1;"BL_GCS_D";"064370040012600025";4;1;63;79;64747079025;4;1;;5
"8";0;100;1;1;1;0;0;"Jane";"Doe";"Tilsiter Str. 21";"78052";"Villingen-Schwenning";"Tilsiter Str. 21";"78052";"Villingen-Schwenningen";"3";"OK";"C";"OK";"OK";"OK";98;100;"+00845710";"+04808770";;2;1;"BL_GCS_D";"083260740153100021";3;1;72;211;78052211021;4;1;;5
"9";0;100;1;1;1;0;0;"Jane";"Doe";"Weningstr. 1";"93336";"Altmannstein";"Weningstr. 1";"93336";"Altmannstein";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+01165308";"+04890118";;2;1;"BL_GCS_D";"091761120020800001";4;1;93;121;93336121001;4;1;;5
"10";0;100;1;1;1;0;0;"John";"Doe";"Kath.-Eberhard-Str. 10";"85540";"Haar";"Katharina-Eberhard-Str. 10";"85540";"Haar";"3";"OK";"OK";"C";"OK";"OK";100;88;"+01172254";"+04811031";;2;1;"BL_GCS_D";"091841230008800010";4;1;85;105;85540105010;4;1;;5
"11";0;100;1;1;1;0;0;"John";"Doe";"Thornweg 6";"38527";"Meine";"Thornweg 6";"38527";"Meine";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+01054170";"+05238830";;2;1;"BL_GCS_D";"031510160013800006";4;1;30;132;38527132006;4;1;;5
"12";0;100;1;1;1;0;0;"Jane";"Doe";"Bergstr. 55";"34311";"Naumburg";"Bergstr. 55";"34311";"Naumburg";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+00921486";"+05122840";;2;1;"BL_GCS_D";"066330180003800055";4;1;34;20;34311020055;4;1;;5
"13";0;100;1;1;1;0;0;"Jane";"Doe";"Torackerstr.21";"79183";"Buchholz";"Torackerstr. 21";"79183";"Waldkirch";"3";"OK";"C";"C";"OK";"OK";97;100;"+00791626";"+04808251";;2;1;"BL_GCS_D";"083160560031100021";4;1;77;246;79183246021;4;1;;5
"14";0;100;1;1;1;0;0;"John";"Doe";"Rintelner Str. 1";"31683";"Obernkirchen";"Rintelner Str. 1";"31683";"Obernkirchen";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+00913225";"+05226754";;2;1;"BL_GCS_D";"032570280019600001";3;1;30;103;31683103001;4;1;;5
"15";0;100;1;1;1;0;0;"John";"Doe";"Nelkenstr. 10";"53840";"Troisdorf";"Nelkenstr. 10";"53840";"Troisdorf";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+00715020";"+05080667";;2;1;"BL_GCS_D";"053820680063900010";4;1;56;150;53840150010;4;1;;5
"16";0;100;1;1;1;0;0;"John";"Doe";"Arnold-Schoenberg-Weg 16";"80939";"Muenchen";"Arnold-Schönberg-Weg 16";"80939";"München";"2";"OK";"C";"C";"OK";"OK";100;100;"+01160580";"+04820781";;2;1;"BL_GCS_D";"091620000058700016";4;1;85;9;80939009016;4;1;;5
"17";0;100;1;1;1;0;0;"Jane";"Doe";"Am Strauchelfeld 7 A";"17459";"Koserow";"Am Strauchelfeld 7 A";"17459";"Koserow";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+01399642";"+05405257";;2;1;"BL_GCS_D";"130750660001100007A";4;1;17;135;17459135007;4;1;;5
"18";0;100;1;1;1;0;0;"John";"Doe";"Petzmannsberger Str. 17";"95326";"Kulmbach";"Petzmannsberger Str. 17";"95326";"Kulmbach";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+01141650";"+05011035";;2;1;"BL_GCS_D";"094771280077000017";3;1;8;357;95326357017;4;1;;5
"19";0;100;1;1;1;0;0;"John";"Doe";"Pestalozzistr. 56 A";"10627";"Berlin";"Pestalozzistr. 56 A";"10627";"Berlin";"1";"OK";"OK";"OK";"OK";"OK";100;100;"+01329765";"+05250799";;2;1;"BL_GCS_D";"110000002868900056A";3;1;14;7;10627007056;3;1;;5
"20";0;100;1;1;1;0;0;"John";"Doe";"Triftweg 21";"37197";"Hattorf";"Triftweg 21";"37197";"Hattorf am Harz";"2";"OK";"C";"OK";"OK";"OK";100;100;"+01023136";"+05163942";;2;1;"BL_GCS_D";"031560080008300021";4;1;34;47;37197047021;4;1;;5
"21";0;100;1;1;1;0;0;"John";"Doe";"Jos.-Aberger-Str. 10";"83246";"Unterwoessen";"Josef-Aberger-Str. 10";"83246";"Unterwössen";"3";"OK";"C";"C";"OK";"OK";100;92;"+01246132";"+04773653";;2;1;"BL_GCS_D";"091891600006600010";4;1;85;72;83246072010;4;1;;5
